,BBC,CBS,CNN,FoxNews,NYtimes
0,0.4696,0.0,0.0,-0.3245,0.0
1,-0.128,0.7574,0.1531,0.0,0.0516
2,0.0,0.5574,0.0,0.0,0.2263
3,0.4963,0.1867,0.0,0.0,-0.4449
4,0.6369,0.4199,0.3612,0.3182,-0.6908
5,0.4389,0.4926,-0.113,0.5267,0.5267
6,-0.3818,0.3555,0.2732,0.0,-0.2263
7,0.0,0.0,0.5423,0.0,0.0
8,0.1531,0.0,0.0,0.0,0.7184
9,0.0,0.9392,-0.5574,-0.6808,0.0
10,-0.5994,0.3595,-0.3597,0.7351,0.0
11,0.5106,-0.296,-0.8126,0.0,0.4019
12,-0.7351,0.1779,-0.2732,0.4019,0.4019
13,0.4404,-0.5562,0.0258,0.5106,0.0
14,0.0,0.5093,-0.25,0.7003,0.0
15,-0.4215,-0.296,0.0,0.0,0.0
16,0.0,0.0,0.6369,0.2023,0.0
17,0.0,0.0,0.0,0.5106,0.6249
18,0.0,0.4767,-0.5574,0.5574,-0.4767
19,-0.5106,0.8478,0.0,-0.2023,-0.2382
20,0.9403,0.92,-0.4588,0.5267,-0.34
21,0.0,0.4404,0.5574,0.2732,0.5574
22,0.0,0.4404,-0.2263,-0.34,0.5574
23,0.6114,0.836,0.7506,0.0,-0.5423
24,0.0,0.0,0.5859,0.0,0.4357
25,0.5106,0.6369,0.0,0.5719,0.0
26,0.4939,0.7978,0.1779,0.34,-0.7783
27,0.0,0.9523,0.0,-0.1027,-0.5423
28,0.0,0.5994,0.0,0.0,0.5574
29,0.296,0.4215,0.0,0.0,0.0
30,0.0,0.8932,0.0,0.4927,0.0
31,0.0,0.0,0.0,0.4588,-0.3182
32,0.0,0.0,0.6124,0.0,0.2486
33,0.0,0.8908,0.34,0.0,0.0
34,0.836,0.0,0.6124,0.0,0.0
35,0.6114,0.4926,0.0,-0.3612,0.4767
36,0.0,0.5093,0.5859,0.5267,0.0
37,0.5267,0.7579,0.2023,0.0,0.0258
38,0.0,0.6467,-0.5267,0.2732,0.0
39,0.0,0.0,0.0,0.5719,0.0
40,-0.2732,0.636,-0.1531,0.3818,0.25
41,-0.7717,0.8834,-0.5574,0.0,0.5574
42,0.5994,0.0,-0.2023,-0.4168,0.0
43,0.5859,0.7351,-0.6249,0.3182,0.0
44,0.0,0.0,-0.5187,0.6908,0.807
45,0.2732,0.0,0.0,0.743,0.34
46,-0.5524,0.4019,-0.4588,0.0,-0.1779
47,0.3182,0.9151,-0.5423,0.0,0.7906
48,0.5423,0.6369,-0.296,0.4588,-0.4215
49,0.636,0.1511,0.0,0.1531,0.0
50,0.5719,0.1531,-0.6908,0.0,0.0
51,0.34,0.8834,-0.2144,0.0,0.6369
52,0.0,0.0,-0.34,0.2486,0.0
53,-0.4215,0.2714,-0.1027,-0.4215,0.0
54,0.0,0.0,0.6124,-0.5267,-0.2732
55,-0.6486,0.8883,0.0,0.7579,0.6486
56,0.0,0.9134,0.0,0.4173,-0.6369
57,-0.5574,0.0,0.0,0.0,0.34
58,0.5994,0.25,0.5574,0.4588,0.0
59,-0.5267,0.4588,0.5859,0.0,0.7579
60,0.6705,0.0,0.0,0.0,0.0
61,0.0,0.3612,0.0,0.0,-0.6486
62,0.0,0.8908,0.2263,0.0,-0.6705
63,0.5859,0.0,0.0,-0.5106,0.4215
64,0.0,0.0,0.0,0.4588,-0.6597
65,-0.4215,0.6369,0.6249,-0.6486,-0.743
66,0.0,0.0,0.0,0.3612,0.1531
67,0.8268,0.6369,0.0,0.5106,-0.802
68,0.2942,0.8834,0.0,0.34,0.0
69,0.3612,0.6696,0.0,0.5859,0.0
70,0.6269,0.3182,-0.5574,0.7351,0.0
71,0.34,0.0,-0.5267,0.0,0.4404
72,0.0,0.4374,0.0,-0.8779,0.0
73,0.0,0.0,-0.6124,0.7003,-0.1531
74,0.3182,0.4184,0.0,-0.6705,0.0
75,0.0,0.68,-0.4588,-0.875,0.3818
76,0.0,0.0,0.5574,0.0,0.3182
77,0.5719,0.296,0.4939,0.4019,-0.7717
78,0.7412,0.0,-0.5423,0.4939,-0.2023
79,0.4019,0.9078,0.1796,-0.765,-0.5859
80,0.0,0.3612,0.6808,0.2716,-0.4767
81,0.0,0.2732,-0.7579,-0.5994,-0.2263
82,0.0,0.3595,0.2732,0.3182,0.0
83,0.0,-0.4404,-0.6705,0.0,0.0
84,0.0,0.4574,0.7906,0.0,0.0
85,0.0,0.5093,-0.6705,-0.7184,0.0772
86,0.2732,0.0,0.0,0.0,0.6908
87,0.0,0.0,0.0,0.8555,-0.4927
88,0.6369,-0.3903,0.8807,0.0,0.296
89,0.25,0.8442,0.0,0.0,0.6249
90,0.0,0.8932,-0.6597,0.5267,-0.9042
91,0.7518,0.4926,-0.25,0.7003,0.1655
92,0.3612,0.0,0.0,0.4588,0.0
93,0.4215,0.0,0.3612,-0.6249,0.0
94,-0.3182,0.6239,-0.25,-0.3818,0.0
95,0.0,0.5859,0.2732,0.0,0.5719
96,0.0,0.1139,0.0,0.0,0.0
97,0.0,0.0,0.0,0.3612,0.0
98,0.0,0.0,0.0516,-0.0258,0.6705
99,-0.34,0.3382,0.0,0.0,-0.4215
